file,page_family,route_or_usage,lines,has_main,has_article,has_style_block,inline_style_count,hardcoded_color_count,uses_base_layout,imports_page_css,component_stack_depth,monetization_components,schema_logic,referenced_by,delete_candidate,priority,notes
src/layouts/BaseLayout.astro,shell,all pages,217,yes-canonical,no,no,0,0,self,main.css,1,adsense+awin scripts,WebSite+sitelinks,all layouts+many pages,no,P0,Canonical main owner; head/meta/schema shell
src/layouts/BlogLayout.astro,blog,blog posts,418,yes-nested,no,no,3,0,BaseLayout,article.css,2,AdSense slots,BreadcrumbList+Article inline,GuidesLayout+BlogLayout users,no,P0,Nested main at line 166; article tag missing; AdSense inline styles
src/layouts/GuidesLayout.astro,guides,guide pages,434,yes-nested,no,no,3,0,BaseLayout,article.css,2,MonetizationRail+AwinOfferPlacement,BreadcrumbList inline,guides/[slug].astro,no,P0,Nested main at line 169; AdSense inline styles; nearly identical to BlogLayout
src/layouts/NameLayout.astro,names,dog-names pages,84,yes-nested,no,no,0,0,BaseLayout,none,2,none,none,dog-names/[breed]+dog-names/index,no,P0,Nested main at line 75; sets duplicate id=dog-names-content
src/pages/index.astro,home,/,222,no,no,no,0,0,BaseLayout,pages/home.css,2,HomeAwinShowcase+AwinOfferPlacement,WebSite+WebPage+SiteNavigationElement,direct,no,P2,Clean structure; uses 10 active home components
src/pages/404.astro,static,/404,97,yes-nested,no,yes,0,2,BaseLayout,none,1,none,none,direct,no,P2,Nested main; style block with #fff hardcoded
src/pages/about.astro,static,/about,210,no,no,no,42,0,BaseLayout,none,1,none,BreadcrumbList,direct,no,P2,42 inline styles (all use var() tokens); no style block
src/pages/contact.astro,static,/contact,541,yes-nested,no,yes,0,9,BaseLayout,none,1,none,BreadcrumbList,direct,no,P2,Nested main; style block; 9 hardcoded colors; uses primitives/Breadcrumb
src/pages/disclosure.astro,static,/disclosure,248,no,no,yes,0,0,BaseLayout,none,1,none,none,direct,no,P3,Style block present
src/pages/methodology.astro,static,/methodology,303,no,no,no,0,0,BaseLayout,none,1,none,BreadcrumbList,direct,no,P2,Clean structure; schema inline
src/pages/privacy.astro,static,/privacy,868,yes-nested,no,yes,0,11,BaseLayout,none,1,none,none,direct,no,P2,Nested main; 143-line style block; 11 hardcoded colors
src/pages/how-we-test.astro,static,/how-we-test,926,yes-nested,no,yes,0,16,BaseLayout,none,1,none,none,direct,no,P1,Nested main; 238-line style block; 16 hardcoded colors; high audit score
src/pages/breed-quiz.astro,tools,/breed-quiz,62,no,no,no,10,0,BaseLayout,none,1,none,none,direct,no,P2,10 inline styles; uses BreedMatchQuiz component
src/pages/brands/index.astro,brands,/brands,223,no,no,yes,5,0,BaseLayout,none,1,none,BreadcrumbList,direct,no,P2,Style block; uses primitives/Breadcrumb
src/pages/brands/[brand].astro,brands,/brands/[brand],488,yes-nested,no,yes,38,1,BaseLayout,none,2,none,BreadcrumbList,direct,no,P1,Nested main; 38 inline styles; 170-line style block; highest brand audit score
src/pages/breeds/index.astro,breeds,/breeds,495,yes-nested,no,no,0,0,BaseLayout,none,2,none,none,direct,no,P1,Nested main; large file
src/pages/breeds/[breed].astro,breeds,/breeds/[breed],226,yes-nested,no,no,1,0,BaseLayout,none,2,BreedCommerceSuite,ItemList+BreadcrumbList,direct,no,P1,Nested main; breed cluster orchestrator
src/pages/breeds/[breed]/[topic].astro,breeds,/breeds/[breed]/[topic],907,yes-nested,no,yes,0,0,BaseLayout,none,2,CommerceRail,none,direct,no,P1,Nested main; 103-line style block; topic overlay pages
src/pages/categories/[category].astro,categories,/categories/[category],190,yes-nested,no,no,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,dynamic,no,P1,Nested main; dynamic route; ui/Breadcrumb
src/pages/categories/beds.astro,categories,/categories/beds,322,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override of dynamic route; 103-line style block
src/pages/categories/dog-food.astro,categories,/categories/dog-food,293,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override; style block
src/pages/categories/grooming.astro,categories,/categories/grooming,322,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override; 103-line style block
src/pages/categories/health.astro,categories,/categories/health,322,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override; 103-line style block
src/pages/categories/lifestyle.astro,categories,/categories/lifestyle,322,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override; 103-line style block
src/pages/categories/toys.astro,categories,/categories/toys,173,yes-nested,no,no,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P2,Nested main; static override; shorter file
src/pages/categories/training.astro,categories,/categories/training,470,yes-nested,no,yes,0,0,BaseLayout,category-hub.css,2,CategoryAmazonBlock,BreadcrumbList,static override,yes-low,P1,Nested main; static override; 139-line style block
src/pages/categories/index.astro,categories,/categories,243,no,no,yes,0,0,BaseLayout,none,2,none,BreadcrumbList,direct,no,P2,Style block; uses primitives/Breadcrumb
