file,type,reason_candidate,referenced_by_count,referenced_by_paths,replacement_or_owner,delete_confidence,required_followup_searches,notes
src/components/RelatedPosts.astro,component,Root-level orphan — 0 imports confirmed across all src/ .astro files,0,none,src/components/guides/RelatedPosts.astro,high,"rg ""RelatedPosts"" src/ — confirmed 0 external imports",Safe to delete with git rm; no callers exist
src/components/blog/RelatedPosts.astro,component,0 imports confirmed — identical content to guides/RelatedPosts.astro,0,none,src/components/guides/RelatedPosts.astro,high,"rg ""blog/RelatedPosts"" src/ — confirmed 0 external imports; diff against guides/ version",Delete after confirming byte-for-byte identical with guides/ version
src/components/home/HomeAwinSpotlight.astro,component,0 imports confirmed across entire src/,0,none,none — was alternate home section,high,"rg ""HomeAwinSpotlight"" src/ — confirmed 0 imports","No callers; safe to delete. Also check src/content/ and public/ for any static references"
src/components/home/HomeBreedDiscovery.astro,component,0 imports confirmed across entire src/,0,none,none — replaced by HomeBreedStarter,high,"rg ""HomeBreedDiscovery"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeCareDecisionLayer.astro,component,0 imports confirmed across entire src/,0,none,none — replaced by HomeCareHubs,high,"rg ""HomeCareDecisionLayer"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeEditorialHighlights.astro,component,0 imports confirmed — has 1 inline style,0,none,none — replaced by HomeFeaturedGuides,high,"rg ""HomeEditorialHighlights"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeLifestyleFilter.astro,component,0 imports confirmed across entire src/,0,none,none — feature not currently active,high,"rg ""HomeLifestyleFilter"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeMethodologyTeaser.astro,component,0 imports confirmed — replaced by HomeMethodologyCompact,0,none,src/components/home/HomeMethodologyCompact.astro,high,"rg ""HomeMethodologyTeaser"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeMixedBreedDiscovery.astro,component,0 imports confirmed across entire src/,0,none,none — mixed breeds section not active,high,"rg ""HomeMixedBreedDiscovery"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomePrimaryJourneys.astro,component,0 imports confirmed — replaced by HomeDecisionPaths,0,none,src/components/home/HomeDecisionPaths.astro,high,"rg ""HomePrimaryJourneys"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeQuickCostTeaser.astro,component,0 imports confirmed — replaced by HomeCostPlanning,0,none,src/components/home/HomeCostPlanning.astro,high,"rg ""HomeQuickCostTeaser"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/home/HomeTrustStrip.astro,component,0 imports confirmed across entire src/,0,none,none — trust signals moved to other sections,high,"rg ""HomeTrustStrip"" src/ — confirmed 0 imports",No callers; safe to delete
